phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7465927,https://tcnqpvv.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465927,2022-03-17T03:32:00+00:00,yes,2022-03-17T03:41:45+00:00,yes,Other
7465926,https://kpkkjar.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465926,2022-03-17T03:14:17+00:00,yes,2022-03-17T03:22:12+00:00,yes,Other
7465925,https://supports-opensea.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465925,2022-03-17T03:06:49+00:00,yes,2022-03-17T03:12:24+00:00,yes,Other
7465922,https://ufjapan.nvzfh.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465922,2022-03-17T02:54:12+00:00,yes,2022-03-17T03:02:42+00:00,yes,Other
7465920,http://opensea-bridge.com,http://www.phishtank.com/phish_detail.php?phish_id=7465920,2022-03-17T02:53:09+00:00,yes,2022-03-17T03:02:42+00:00,yes,Other
7465919,https://ufjapan.penjingw.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465919,2022-03-17T02:49:24+00:00,yes,2022-03-17T02:52:36+00:00,yes,Other
7465916,https://aeoncojapan.nltwkp.cn,http://www.phishtank.com/phish_detail.php?phish_id=7465916,2022-03-17T02:45:05+00:00,yes,2022-03-17T02:52:36+00:00,yes,Other
7465912,https://marketplacexaeinfinity.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465912,2022-03-17T02:40:41+00:00,yes,2022-03-17T02:42:20+00:00,yes,Other
7465911,http://axieliinfinity.site,http://www.phishtank.com/phish_detail.php?phish_id=7465911,2022-03-17T02:38:27+00:00,yes,2022-03-17T02:42:20+00:00,yes,Other
7465908,https://attmailkds.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465908,2022-03-17T02:30:58+00:00,yes,2022-03-17T02:42:20+00:00,yes,Other
7465903,https://uni.sawp.online/,http://www.phishtank.com/phish_detail.php?phish_id=7465903,2022-03-17T02:26:10+00:00,yes,2022-03-17T02:33:08+00:00,yes,Other
7465891,http://zcomirm.co.vu/apvzs.html,http://www.phishtank.com/phish_detail.php?phish_id=7465891,2022-03-17T01:57:20+00:00,yes,2022-03-17T02:03:14+00:00,yes,Facebook
7465890,https://business-page-appeal-1258623-0.web.app/appeal.html,http://www.phishtank.com/phish_detail.php?phish_id=7465890,2022-03-17T01:45:51+00:00,yes,2022-03-17T01:52:15+00:00,yes,Facebook
7465889,https://business-page-appeal-1258623-0.web.app/check.html,http://www.phishtank.com/phish_detail.php?phish_id=7465889,2022-03-17T01:45:23+00:00,yes,2022-03-17T01:52:16+00:00,yes,Facebook
7465888,https://business-page-appeal-1258623-0.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=7465888,2022-03-17T01:45:01+00:00,yes,2022-03-17T01:52:16+00:00,yes,Facebook
7465887,http://sepertikume.co.vu/Safety_Information.html,http://www.phishtank.com/phish_detail.php?phish_id=7465887,2022-03-17T01:43:46+00:00,yes,2022-03-17T01:52:16+00:00,yes,Facebook
7465886,https://terjalapakkz.topijerami.workers.dev/,http://www.phishtank.com/phish_detail.php?phish_id=7465886,2022-03-17T01:43:14+00:00,yes,2022-03-17T01:52:16+00:00,yes,Facebook
7465882,https://www.201bono-lnterbak.online/,http://www.phishtank.com/phish_detail.php?phish_id=7465882,2022-03-17T01:11:01+00:00,yes,2022-03-17T01:11:33+00:00,yes,Other
7465876,http://connect-metamask.com,http://www.phishtank.com/phish_detail.php?phish_id=7465876,2022-03-17T00:35:24+00:00,yes,2022-03-17T00:42:18+00:00,yes,Other
7465875,https://blogs.kimmatsko.com/sm10/Home/,http://www.phishtank.com/phish_detail.php?phish_id=7465875,2022-03-17T00:31:03+00:00,yes,2022-03-17T00:42:18+00:00,yes,ABSA Bank
7465874,http://axiinninfinitye.com,http://www.phishtank.com/phish_detail.php?phish_id=7465874,2022-03-17T00:29:14+00:00,yes,2022-03-17T00:32:04+00:00,yes,Other
7465872,https://www.eki-net.2leb6pd5.com,http://www.phishtank.com/phish_detail.php?phish_id=7465872,2022-03-17T00:18:29+00:00,yes,2022-03-17T00:22:39+00:00,yes,Other
7465871,https://wvw-interbnak.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465871,2022-03-17T00:18:11+00:00,yes,2022-03-17T00:22:39+00:00,yes,Other
